,Date,Day,count,status,country
1615,5/23/2014,62,1.0,Deaths,UnitedStates
30,5/27/2014,66,281.0,Cases,Guinea
1006,5/27/2014,66,186.0,Deaths,Guinea
152,5/27/2014,66,12.0,Cases,Liberia
1128,5/27/2014,66,11.0,Deaths,Liberia
884,5/27/2014,66,7.0,Cases,Mali
1860,5/27/2014,66,6.0,Deaths,Mali
396,5/27/2014,66,20.0,Cases,Nigeria
1372,5/27/2014,66,8.0,Deaths,Nigeria
518,5/27/2014,66,1.0,Cases,Senegal
1494,5/27/2014,66,0.0,Deaths,Senegal
274,5/27/2014,66,16.0,Cases,SierraLeone
1250,5/27/2014,66,5.0,Deaths,SierraLeone
762,5/27/2014,66,1.0,Cases,Spain
1738,5/27/2014,66,0.0,Deaths,Spain
640,5/27/2014,66,4.0,Cases,UnitedStates
1616,5/27/2014,66,1.0,Deaths,UnitedStates
31,5/28/2014,67,291.0,Cases,Guinea
1007,5/28/2014,67,193.0,Deaths,Guinea
153,5/28/2014,67,13.0,Cases,Liberia
1129,5/28/2014,67,12.0,Deaths,Liberia
885,5/28/2014,67,7.0,Cases,Mali
1861,5/28/2014,67,6.0,Deaths,Mali
397,5/28/2014,67,20.0,Cases,Nigeria
1373,5/28/2014,67,8.0,Deaths,Nigeria
519,5/28/2014,67,1.0,Cases,Senegal
1495,5/28/2014,67,0.0,Deaths,Senegal
275,5/28/2014,67,50.0,Cases,SierraLeone
1251,5/28/2014,67,6.0,Deaths,SierraLeone
763,5/28/2014,67,1.0,Cases,Spain
1739,5/28/2014,67,0.0,Deaths,Spain
641,5/28/2014,67,4.0,Cases,UnitedStates
1617,5/28/2014,67,1.0,Deaths,UnitedStates
32,6/1/2014,71,328.0,Cases,Guinea
1008,6/1/2014,71,208.0,Deaths,Guinea
154,6/1/2014,71,13.0,Cases,Liberia
1130,6/1/2014,71,12.0,Deaths,Liberia
886,6/1/2014,71,7.0,Cases,Mali
1862,6/1/2014,71,6.0,Deaths,Mali
398,6/1/2014,71,20.0,Cases,Nigeria
1374,6/1/2014,71,8.0,Deaths,Nigeria
520,6/1/2014,71,1.0,Cases,Senegal
1496,6/1/2014,71,0.0,Deaths,Senegal
276,6/1/2014,71,79.0,Cases,SierraLeone
1252,6/1/2014,71,6.0,Deaths,SierraLeone
764,6/1/2014,71,1.0,Cases,Spain
1740,6/1/2014,71,0.0,Deaths,Spain
642,6/1/2014,71,4.0,Cases,UnitedStates
1618,6/1/2014,71,1.0,Deaths,UnitedStates
33,6/3/2014,73,344.0,Cases,Guinea
1009,6/3/2014,73,215.0,Deaths,Guinea
155,6/3/2014,73,13.0,Cases,Liberia
1131,6/3/2014,73,12.0,Deaths,Liberia
887,6/3/2014,73,7.0,Cases,Mali
1863,6/3/2014,73,6.0,Deaths,Mali
399,6/3/2014,73,20.0,Cases,Nigeria
1375,6/3/2014,73,8.0,Deaths,Nigeria
521,6/3/2014,73,1.0,Cases,Senegal
1497,6/3/2014,73,0.0,Deaths,Senegal
277,6/3/2014,73,79.0,Cases,SierraLeone
1253,6/3/2014,73,6.0,Deaths,SierraLeone
765,6/3/2014,73,1.0,Cases,Spain
1741,6/3/2014,73,0.0,Deaths,Spain
643,6/3/2014,73,4.0,Cases,UnitedStates
1619,6/3/2014,73,1.0,Deaths,UnitedStates
34,6/5/2014,75,344.0,Cases,Guinea
1010,6/5/2014,75,215.0,Deaths,Guinea
156,6/5/2014,75,13.0,Cases,Liberia
1132,6/5/2014,75,12.0,Deaths,Liberia
888,6/5/2014,75,7.0,Cases,Mali
